z_variable,size_variable,pi_mode,pi_size_strength,objective,iterations,colony_size,corr_y_z,corr_y_size,corr_y_pi,corr_y_over_pi_z_over_pi,Ppi_z_eff,Ppi_y_eff,Ppi_z_opt_eff,Ppi_y_z_order_eff,Ppi_y_opt_eff,Start_z_eff,Start_y_eff,Start_z_over_Ppi_z,Start_y_over_Ppi_y,Start_z_over_Ppi_z_opt,Start_y_over_Ppi_y_opt,ABC_z_eff,ABC_y_eff,Random_z_eff,Random_y_eff,evaluations_ABC,evaluations_Random,ABC_valid_percent,Random_valid_percent,ABC_z_over_Ppi_z,ABC_y_over_Ppi_y,ABC_z_over_Ppi_z_opt,ABC_y_over_Ppi_y_opt,Random_z_over_Ppi_z,Random_y_over_Ppi_y,Random_z_over_Ppi_z_opt,Random_y_over_Ppi_y_opt,both_ABC,both_Random
z_00,size_80,auxiliary,0.35,eff_z,100,20,-2.4830408006784862e-17,0.8000000000000004,0.7968202530366716,0.10313052788399882,0.8311201502898055,1.441047675886748,4.957274197997176,1.441047675886748,2.4502170675811374,0.8311209346655268,1.4410220601048294,1.000000943757315,0.9999822241953911,0.167656841536285,0.588120162564785,1.283447754335136,0.6378047704947256,0.9545078028373125,0.579780225594177,12420,3020,99.94363929146537,99.93377483443709,1.5442385242225292,0.44259796616531283,0.25890190920923256,0.2603054149501818,1.1484594646207082,0.4023324386109637,0.19254690475321096,0.23662402538340735,False,False
z_00,size_90,auxiliary,0.35,eff_z,100,20,-2.4830408006784862e-17,0.9000000000000001,0.8655222606938383,0.03316670100622662,0.8760830557736132,2.684707741746442,6.265601432632024,2.684707741746442,4.881811253431586,0.8760828810604523,2.6847521765745226,0.9999998005746604,1.0000165510857624,0.13982422764679936,0.5499500159264293,1.0537754264796177,0.5819357305557441,0.9675866927972572,0.7056344608409736,13370,3020,99.87284966342558,99.96688741721854,1.2028259415987628,0.21675943399976427,0.16818424181778074,0.11920488121016197,1.104446303829998,0.2628347398372487,0.15442838220732436,0.1445435770063744,False,False
z_80,size_00,auxiliary,0.35,eff_z,100,20,0.7999999999999999,1.431161999086107e-17,2.3835928402128973e-16,0.8000000000000003,9.86810207126051,2.243800749919743,9.868102073161047,2.243800749919743,6.2376311056539215,9.868280349035972,2.2442760409460263,1.0000180660652043,1.0002118240785418,1.0000180658726068,0.35979621156367625,9.868280349035972,2.2442760409460263,9.868280349035972,2.2442760409460263,9620,3020,99.95841995841995,99.96688741721854,1.0000180660652043,1.0002118240785418,1.0000180658726068,0.35979621156367625,1.0000180660652043,1.0002118240785418,1.0000180658726068,0.35979621156367625,False,False
z_80,size_80,auxiliary,0.35,eff_z,100,20,0.7999999999999999,0.8000000000000004,0.7968202530366716,-0.5431588800339152,1.25358508189391,1.441047675886748,4.600513945894489,1.441047675886748,2.4502170675811374,1.2535858046019197,1.4410220601048294,1.000000576512931,0.9999822241953911,0.2724882087838518,0.588120162564785,1.9476751446025629,0.7203518957058,1.2535858046019197,1.4410220601048294,10620,3020,99.57627118644068,99.93377483443709,1.5536840480424552,0.4998806824781365,0.4233603391944227,0.29399513424209955,1.000000576512931,0.9999822241953911,0.2724882087838518,0.588120162564785,False,False
z_80,size_90,auxiliary,0.35,eff_z,100,20,0.7999999999999999,0.9000000000000001,0.8655222606938383,-0.5857763447512758,1.50271331829187,2.684707741746442,5.779388626944257,2.684707741746442,4.881811253431586,1.5027133964664598,2.6847521765745226,1.0000000520222911,1.0000165510857624,0.2600125192240258,0.5499500159264293,2.6441700837117814,0.8851688027856107,1.5027133964664598,2.6847521765745226,10845,3020,99.94467496542185,99.90066225165563,1.759597157704972,0.3297076955608566,0.45751726599320874,0.18131975138600379,1.0000000520222911,1.0000165510857624,0.2600125192240258,0.5499500159264293,False,False
z_90,size_00,auxiliary,0.35,eff_z,100,20,0.9,1.431161999086107e-17,2.3835928402128973e-16,0.9000000000000004,10.426075170042793,2.939418442772472,10.42607517361845,2.939418442772472,6.2376311056539215,10.42627205364841,2.9402403942319806,1.00001888377001,1.0002796306397035,1.00001888342705,0.47137131780154234,10.42627205364841,2.9402403942319806,10.42627205364841,2.9402403942319806,9545,3020,99.96856993190151,99.86754966887418,1.00001888377001,1.0002796306397035,1.00001888342705,0.47137131780154234,1.00001888377001,1.0002796306397035,1.00001888342705,0.47137131780154234,False,False
z_90,size_80,auxiliary,0.35,eff_z,100,20,0.9,0.8000000000000004,0.7968202530366716,-0.5170980066756964,1.2476092718611684,1.441047675886748,2.915913893022495,1.441047675886748,2.4502170675811374,1.247610495368479,1.4410220601048294,1.0000009806814827,0.9999822241953911,0.4278625985334795,0.588120162564785,1.7818457160375971,1.0053786493567354,1.247610495368479,1.4410220601048294,10495,3020,99.9618866126727,99.90066225165563,1.4282081387383898,0.6976720244443516,0.6110762462161125,0.41032227824175943,1.0000009806814827,0.9999822241953911,0.4278625985334795,0.588120162564785,False,False
z_90,size_90,auxiliary,0.35,eff_z,100,20,0.9,0.9000000000000001,0.8655222606938383,-0.5881511960136881,1.4203281398230647,2.684707741746442,3.019190686396836,2.684707741746442,4.881811253431586,1.4203279808638398,2.6847521765745226,0.9999998880827462,1.0000165510857624,0.47043334734146536,0.5499500159264293,1.9926707777572954,1.0282660263065782,1.4203279808638398,2.6847521765745226,10195,3020,99.92153016184405,99.93377483443709,1.402965076792416,0.3830085525948817,0.6600016311442023,0.2106320734100025,0.9999998880827462,1.0000165510857624,0.47043334734146536,0.5499500159264293,False,False
z_00,size_00,auxiliary,0.35,eff_z,150,20,-2.4830408006784862e-17,1.431161999086107e-17,2.3835928402128973e-16,-3.475577650980294e-17,12.940311930050942,1.008922640219851,12.940311923075058,1.008922640219851,6.2376311056539215,12.94062140831539,1.0090161430026268,1.0000239158272322,1.0000926758693367,1.0000239163663267,0.1617627150294337,12.94062140831539,1.0090161430026268,12.94062140831539,1.0090161430026268,13732,4520,99.98543547917274,99.84513274336283,1.0000239158272322,1.0000926758693367,1.0000239163663267,0.1617627150294337,1.0000239158272322,1.0000926758693367,1.0000239163663267,0.1617627150294337,False,False
z_00,size_80,auxiliary,0.35,eff_z,150,20,-2.4830408006784862e-17,0.8000000000000004,0.7968202530366716,0.10313052788399882,0.8311201502898055,1.441047675886748,4.957274197997176,1.441047675886748,2.4502170675811374,0.8311209346655268,1.4410220601048294,1.000000943757315,0.9999822241953911,0.167656841536285,0.588120162564785,1.3767649096796224,0.6565056217635719,0.9545078028373125,0.579780225594177,17632,4520,99.92627041742287,99.91150442477876,1.656517302822648,0.455575226794347,0.2777261968353211,0.2679377392516804,1.1484594646207082,0.4023324386109637,0.19254690475321096,0.23662402538340735,False,False
z_00,size_90,auxiliary,0.35,eff_z,150,20,-2.4830408006784862e-17,0.9000000000000001,0.8655222606938383,0.03316670100622662,0.8760830557736132,2.684707741746442,6.265601432632024,2.684707741746442,4.881811253431586,0.8760828810604523,2.6847521765745226,0.9999998005746604,1.0000165510857624,0.13982422764679936,0.5499500159264293,1.1143593046421243,0.5508372713244166,0.9735315536053409,0.7566098424393607,19132,4520,99.8693288730922,99.97787610619469,1.2719790632842505,0.20517587920616226,0.17785352557511938,0.11283461050183269,1.1112320312435184,0.2818220511209815,0.15537719149115817,0.15498547632449222,False,False
